"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,4566072,1525463,1257290,271255
12,5132674,1831102,1344264,489920
13,5763424,1092534,1439655,-343140
14,6432579,1487701,1515566,-25072
15,7000520,977225,1795580,-814245
16,7714321,1451661,1849488,-393717
17,9491175,2192166,2187968,6253
18,10516623,2890930,2312425,579532
19,11447953,2907290,2475761,431529
20,12206347,3382739,2549802,832937
21,13097039,4032085,2654420,1379720
22,13993018,4617823,2728271,1890579
23,14886420,4288441,2993740,1295215
24,16653835,5791106,3118650,2672456
25,19104464,7895010,3242587,4652423
26,20816527,9290760,3361752,5929008
27,22674680,10515091,3550555,6964536
28,23384109,11018739,3668856,7349883
29,24314286,11400286,3996086,7404200
30,25251422,11953309,4075563,7877746
